index;code;nom;dep;url
508;02102;bouconville-vauclair;02;
509;02103;boue;02;
510;02104;bouffignereux;02;
511;02105;bouresches;02;
512;02106;bourg-et-comin;02;
513;02107;bourguignon-sous-coucy;02;
514;02108;bourguignon-sous-montbavin;02;
515;02109;bouteille;02;
516;02110;braine;02;
517;02111;brancourt-en-laonnois;02;
518;02112;brancourt-le-grand;02;
519;02114;brasles;02;
520;02115;braye-en-laonnois;02;
521;02116;braye-en-thierache;02;
522;02117;bray-saint-christophe;02;
523;02118;braye;02;
524;02119;brecy;02;
525;02120;brenelle;02;
526;02121;breny;02;
527;02122;brie;02;
528;02123;brissay-choigny;02;
529;02124;brissy-hamegicourt;02;
530;02125;brumetz;02;
531;02126;brunehamel;02;
532;02127;bruyeres-sur-fere;02;
533;02128;bruyeres-et-montberault;02;
534;02129;bruys;02;
535;02130;bucilly;02;
536;02131;bucy-le-long;02;
537;02132;bucy-les-cerny;02;
538;02133;bucy-les-pierrepont;02;
539;02134;buire;02;
540;02135;buironfosse;02;
541;02136;burelles;02;
542;02137;bussiares;02;
543;02138;buzancy;02;
544;02139;caillouel-crepigny;02;
545;02140;camelin;02;
546;02141;capelle;02;
547;02142;castres;02;
548;02143;catelet;02;
549;02144;caulaincourt;02;
550;02145;caumont;02;
551;02146;celles-les-conde;02;
552;02148;celles-sur-aisne;02;
553;02149;cerizy;02;
554;02150;cerny-en-laonnois;02;
555;02151;cerny-les-bucy;02;
556;02152;cerseuil;02;
557;02153;cessieres;02;
558;02154;chacrise;02;
559;02155;chaillevois;02;
560;02156;chalandry;02;
561;02157;chambry;02;
562;02158;chamouille;02;
563;02159;champs;02;
564;02160;chaourse;02;
565;02162;chapelle-sur-chezy;02;
566;02163;charly-sur-marne;02;
567;02164;charmel;02;
568;02165;charmes;02;
569;02166;charteves;02;
570;02167;chassemy;02;
571;02168;chateau-thierry;02;
572;02169;chatillon-les-sons;02;
573;02170;chatillon-sur-oise;02;
574;02171;chaudardes;02;
575;02172;chaudun;02;
576;02173;chauny;02;
577;02174;chavignon;02;
578;02175;chavigny;02;
579;02176;chavonne;02;
580;02177;cheret;02;
581;02178;chermizy-ailles;02;
582;02179;chery-chartreuve;02;
583;02180;chery-les-pouilly;02;
584;02181;chery-les-rozoy;02;
585;02182;chevennes;02;
586;02183;chevregny;02;
587;02184;chevresis-monceau;02;
588;02185;chezy-en-orxois;02;
589;02186;chezy-sur-marne;02;
590;02187;chierry;02;
591;02188;chigny;02;
592;02189;chivres-en-laonnois;02;
593;02190;chivres-val;02;
594;02191;chivy-les-etouvelles;02;
595;02192;chouy;02;
596;02193;cierges;02;
597;02194;cilly;02;
598;02195;ciry-salsogne;02;
599;02196;clacy-et-thierret;02;
600;02197;clairfontaine;02;
601;02198;clamecy;02;
602;02199;clastres;02;
603;02200;clermont-les-fermes;02;
604;02201;coeuvres-et-valsery;02;
605;02203;coincy;02;
606;02204;coingt;02;
607;02205;colligis-crandelain;02;
608;02206;colonfay;02;
609;02207;commenchon;02;
610;02208;concevreux;02;
611;02209;conde-en-brie;02;
612;02210;conde-sur-aisne;02;
613;02211;conde-sur-suippe;02;
614;02212;condren;02;
615;02213;connigis;02;
616;02214;contescourt;02;
617;02215;corbeny;02;
618;02216;corcy;02;
619;02217;coucy-le-chateau-auffrique;02;
620;02218;coucy-les-eppes;02;
621;02219;coucy-la-ville;02;
622;02220;coulonges-cohan;02;
623;02221;coupru;02;
624;02222;courbes;02;
625;02223;courboin;02;
626;02224;courcelles-sur-vesle;02;
627;02225;courchamps;02;
628;02226;courmelles;02;
629;02227;courmont;02;
630;02228;courtemont-varennes;02;
631;02229;courtrizy-et-fussigny;02;
632;02230;couvrelles;02;
633;02231;couvron-et-aumencourt;02;
634;02232;coyolles;02;
635;02233;cramaille;02;
636;02234;craonne;02;
637;02235;craonnelle;02;
638;02236;crecy-au-mont;02;
639;02237;crecy-sur-serre;02;
640;02238;crepy;02;
641;02239;crezancy;02;
642;02240;croix-fonsomme;02;
643;02241;croix-sur-ourcq;02;
644;02242;crouttes-sur-marne;02;
645;02243;crouy;02;
646;02244;crupilly;02;
647;02245;cuffies;02;
648;02246;cugny;02;
649;02248;cuirieux;02;
650;02249;cuiry-housse;02;
651;02250;cuiry-les-chaudardes;02;
652;02251;cuiry-les-iviers;02;
653;02252;cuissy-et-geny;02;
654;02253;cuisy-en-almont;02;
655;02254;cutry;02;
656;02255;cys-la-commune;02;
657;02256;dagny-lambercy;02;
658;02257;dallon;02;
659;02258;dammard;02;
660;02259;dampleux;02;
661;02260;danizy;02;
662;02261;dercy;02;
663;02262;deuillet;02;
664;02263;dhuizel;02;
665;02264;dizy-le-gros;02;
666;02265;dohis;02;
667;02266;dolignon;02;
668;02267;dommiers;02;
669;02268;domptin;02;
670;02269;dorengt;02;
671;02270;douchy;02;
672;02271;dravegny;02;
673;02272;droizy;02;
674;02273;dury;02;
675;02274;ebouleau;02;
676;02275;effry;02;
677;02276;englancourt;02;
678;02277;epagny;02;
679;02278;eparcy;02;
680;02279;epaux-bezu;02;
