,0,1,2
74,Chanay,-0.37075682528400167,-2.706209404948705
75,Chaneins,-0.5670857248568912,-2.8911900194306073
76,Chanoz-Châtenay,-0.5313710883762454,-2.5115048081066345
77,La Chapelle-du-Châtelard,-0.6196184341362049,-2.1672438805469367
78,Charix,-0.6971079361917916,-1.4975748618294356
79,Charnoz-sur-Ain,-0.6684699103442466,-3.239661191133039
80,Château-Gaillard,0.21802815049673782,-2.719862297776578
81,Châtenay,-0.7342152359971686,-0.13528473809986907
82,Châtillon-la-Palud,-0.3623650420806049,-1.8282837292547645
83,Châtillon-sur-Chalaronne,3.7197709374925156,1.0897084692821746
84,Chavannes-sur-Reyssouze,-0.747834115373822,-0.8667648944549529
85,Nivigne et Suran,-0.5355015594075034,-0.945938040863326
86,Chaveyriat,-0.5661675040645989,-2.254332436639221
87,Chazey-Bons,-0.361806662118882,-0.4865929705540898
88,Chazey-sur-Ain,-0.4779289504691003,-2.5097369335622597
89,Cheignieu-la-Balme,-1.1860176264315083,2.548256415572468
90,Chevillard,-1.0112133159971501,-2.4503544512560933
91,Chevroux,-0.6944568521940746,-2.512627249723061
92,Chevry,0.17285121063910933,-8.580201312651141
93,Chézery-Forens,-0.21651309913348174,-1.8747958534027251
94,Civrieux,-0.12527623790935238,-4.229785278334189
95,Cize,-0.8698671977974044,-0.30974860293603296
96,Cleyzieu,-1.1576779888716167,-0.28544155200438204
97,Coligny,-0.08531863094610234,2.015885378451647
98,Collonges,0.5829145713649532,-5.3876391262868575
99,Colomieu,-0.9090530129799308,-0.5450211909431466
100,Conand,-0.9171338914893011,-1.5745325289214145
101,Condamine,-0.5524139406252453,-4.132722460593223
102,Condeissiat,-0.7004001086551667,-1.289590000760438
103,Confort,-0.594701122358128,-0.48338155184489184
104,Confrançon,-0.023518813608002415,-3.0115327606537012
105,Contrevoz,-0.7699316150797052,0.9862643111600794
106,Conzieu,-1.1181182267716605,-1.1166374708038393
107,Corbonod,-0.654247812851181,-0.033361085736713085
108,Corlier,-0.9974593823322279,-2.9607490466509323
109,Cormoranche-sur-Saône,-0.669465932644151,-1.269262354034199
110,Cormoz,-0.6654929545632605,-0.5187599039083566
111,Corveissiat,-0.7173570545642675,-1.2146713722504285
112,Courmangoux,-0.8706378848902808,-0.31633647409019566
113,Courtes,-0.9020992951760457,-1.1153209725289548
114,Crans,-1.0034090735012557,-0.00221175007023913
115,Bresse Vallons,0.08569771781463294,-2.6896717037094002
116,Cressin-Rochefort,-0.7954547681441912,-0.9570341592448747
117,Crottet,-0.46880721636149963,-1.556430945603825
118,Crozet,-0.16359064839247284,-5.607055333133052
119,Cruzilles-lès-Mépillat,-0.6089793175029115,-2.1716059747393968
120,Culoz,1.1836640741749844,0.4904137851942739
121,Curciat-Dongalon,-0.771166624599618,1.1065176550952682
122,Curtafond,-0.7834214432733692,-0.9177175378968109
123,Cuzieu,-0.894756768970287,-0.3768353542557525
124,Dagneux,2.0678544988911383,-3.3208946471107827
125,Divonne-les-Bains,4.224304282742493,-4.881657432700488
126,Dompierre-sur-Veyle,-0.2928828163344258,-1.2969039646337772
127,Dompierre-sur-Chalaronne,-0.8521027672934406,-1.5167219175277902
128,Domsure,-0.7969092486155566,0.14237846441223354
129,Dortan,0.3376531966349956,-0.9394331767398493
130,Douvres,-0.620141175239651,-2.2104263350589584
131,Drom,-0.8229306281239674,-3.536644868620666
132,Druillat,-0.6373562526527179,-0.224966677000722
133,Échallon,-0.6901035346184199,-1.6668565677365057
134,Échenevex,-0.16386413173562153,-5.631540158812451
135,Évosges,-0.8159375760362998,0.25112079047166835
136,Faramans,-0.6832949278638485,-3.3438470571508714
137,Fareins,-0.2049555991708015,-1.7603232622585068
138,Farges,-0.4151874138961363,-5.180075783381643
139,Feillens,1.169021134436859,-0.9288584065728265
140,Ferney-Voltaire,7.053352704777559,-4.508296511043487
141,Flaxieu,-1.050584752534542,1.0714001984093164
